Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Rolling Mean,Bollinger High,Bollinger Low,Bollinger Middle
TATAPOWER,EQ,2017-06-01,81.0,81.3,81.35,80.05,80.75,80.7,80.54,2767159,222861845.9,12183,1854477,67.02,82.15357142857142,85.51636886425003,78.79077399289282,82.15357142857142
TATAPOWER,EQ,2017-06-02,80.7,81.0,81.7,80.85,81.2,81.05,81.14,1447974,117491376.0,11053,880352,60.8,81.975,85.2834390928003,78.6665609071997,81.975
TATAPOWER,EQ,2017-06-05,81.05,81.45,81.55,80.55,81.0,81.0,80.98,2458920,199124669.4,9789,1815292,73.82,81.77142857142857,84.93022928974273,78.61262785311442,81.77142857142857
TATAPOWER,EQ,2017-06-06,81.0,81.0,81.05,79.25,79.3,79.6,79.81,3011010,240298418.9,12686,2259482,75.04,81.36071428571428,83.96106295210755,78.760365619321,81.36071428571428
TATAPOWER,EQ,2017-06-07,79.6,79.5,80.2,79.2,79.75,80.0,79.82,2020824,161303285.65,21068,1173215,58.06,81.09285714285714,83.3876194542816,78.79809483143268,81.09285714285714
TATAPOWER,EQ,2017-06-08,80.0,79.7,79.95,78.55,79.05,79.05,79.07,2330855,184307892.05,13154,1253932,53.8,80.72857142857141,82.4900019161688,78.96714094097403,80.72857142857141
TATAPOWER,EQ,2017-06-09,79.05,78.7,79.1,77.55,77.95,77.8,78.01,3785162,295272072.85,18107,2383471,62.97,80.42499999999998,82.61755734071149,78.23244265928848,80.42499999999998
TATAPOWER,EQ,2017-06-12,77.8,77.5,79.2,76.65,78.9,78.9,77.62,3119107,242117191.6,16161,1784631,57.22,80.31071428571428,82.64842472755484,77.97300384387373,80.31071428571428
TATAPOWER,EQ,2017-06-13,78.9,79.0,79.5,77.65,77.7,78.1,78.7,2322985,182821951.4,8860,1393413,59.98,80.15714285714284,82.77743560146251,77.53685011282317,80.15714285714284
TATAPOWER,EQ,2017-06-14,78.1,77.85,77.9,76.75,77.65,77.55,77.37,4060663,314186169.9,21298,2875491,70.81,79.95357142857141,82.91342181089051,76.9937210462523,79.95357142857141
TATAPOWER,EQ,2017-06-15,77.55,77.25,77.9,76.8,77.15,77.1,77.13,3411180,263096857.55,16399,2286207,67.02,79.67142857142855,82.9200292845675,76.4228278582896,79.67142857142855
TATAPOWER,EQ,2017-06-16,77.1,77.1,78.4,76.8,78.3,77.9,77.58,4329268,335872614.1,12344,3259465,75.29,79.43928571428569,82.69721770853009,76.18135372004129,79.43928571428569
TATAPOWER,EQ,2017-06-19,77.9,77.9,78.7,77.15,78.0,78.05,77.87,2691021,209553342.25,16505,1798914,66.85,79.12857142857139,81.97373312080357,76.28340973633921,79.12857142857139
TATAPOWER,EQ,2017-06-20,78.05,77.7,82.45,77.7,82.35,82.1,81.06,10963089,888661105.2,46025,3736432,34.08,79.20714285714281,82.32282456865845,76.09146114562718,79.20714285714281
TATAPOWER,EQ,2017-06-21,82.1,82.5,82.5,81.35,81.5,81.75,81.78,5082680,415670805.0,20528,2445722,48.12,79.28214285714282,82.59682050543508,75.96746520885056,79.28214285714282
TATAPOWER,EQ,2017-06-22,81.75,82.0,83.4,80.75,82.45,82.75,82.14,11286863,927101360.05,30993,4829886,42.79,79.40357142857138,83.09981989793233,75.70732295921043,79.40357142857138
TATAPOWER,EQ,2017-06-23,82.75,82.7,82.75,81.15,81.6,81.5,81.7,3436311,280758184.0,21976,1545504,44.98,79.43928571428567,83.21087557930156,75.66769584926979,79.43928571428567
TATAPOWER,EQ,2017-06-27,81.5,81.7,83.8,80.8,81.2,81.1,81.79,6031291,493313729.55,24534,3161014,52.41,79.54642857142854,83.42148971947502,75.67136742338205,79.54642857142854
TATAPOWER,EQ,2017-06-28,81.1,81.8,82.0,80.85,81.9,81.65,81.49,3192237,260130959.15,17579,1581809,49.55,79.66428571428568,83.69597338751954,75.63259804105182,79.66428571428568
TATAPOWER,EQ,2017-06-29,81.65,82.1,82.7,80.95,81.6,81.55,81.51,2374978,193593062.95,19078,1260861,53.09,79.84285714285711,83.97748709427539,75.70822719143884,79.84285714285711
TATAPOWER,EQ,2017-06-30,81.55,81.4,81.45,80.5,80.5,80.55,80.87,3999194,323420105.05,19590,2382207,59.57,80.03928571428568,84.01404813029704,76.06452329827432,80.03928571428568
TATAPOWER,EQ,2017-07-03,80.55,80.25,81.1,79.95,80.55,80.4,80.33,5308137,426397033.65,25846,3580555,67.45,80.14642857142853,84.06943061768663,76.22342652517042,80.14642857142853
TATAPOWER,EQ,2017-07-04,80.4,80.9,81.7,80.55,81.55,81.2,81.11,2415946,195953897.25,9875,1187362,49.15,80.36785714285712,84.14035012452104,76.5953641611932,80.36785714285712
TATAPOWER,EQ,2017-07-05,81.2,81.8,82.3,81.55,81.65,81.75,81.91,2227119,182413891.5,11015,781080,35.07,80.66785714285712,84.13031672726044,77.2053975584538,80.66785714285712
TATAPOWER,EQ,2017-07-06,81.75,82.3,82.5,81.85,81.95,81.95,82.02,1223744,100375977.35,7083,510283,41.7,81.0142857142857,83.85341574664761,78.1751556819238,81.0142857142857
TATAPOWER,EQ,2017-07-07,81.95,82.0,83.0,81.4,81.65,81.7,81.82,3227783,264106441.65,21295,1782372,55.22,81.28571428571426,83.5001524229708,79.07127614845773,81.28571428571426
TATAPOWER,EQ,2017-07-10,81.7,89.05,89.05,82.6,83.4,83.45,83.41,1442406,120304625.7,3828,1068781,74.1,81.67142857142856,83.24706728719981,80.09578985565732,81.67142857142856
